,full_text
78,Nampaknya semakin banyak yang gerah dengan acara Desak Anies.
79,Anies udah teruji menghadapi tensi tinggi kayak gini. Ga kebayang kalo Prabowo atau Gibran yg ada di posisi Anies. Beuh...
80,@_BangFu Padahal mah tinggal dateng aja  toh anies ga nyulik orang~
81,Sederhana saja... Dalam Memilih Pemimpin Itu Omongan dengan Perbuatan Sejalan. Janji ini ..itu Dibuktikan dengan Kenyataan. Anies telah Membuktikannya Sewaktu dulu Memimpin Jakarta. Bersenyawa  Kata yang Pas yang Diucapkan Anies dalam Video Pendek ini. https://t.co/t5GqT6IeII
82,Tambah amunisi utk Anies dukungan dari para jenderal purnawirawan https://t.co/7VQbDRuSZY
83,Si Ahli IT dlm video ini jg ngawur  Anies bicara Aplikasi Jaki itu bagus dari sisi kegunaan bagi masyarakat  Si Ahli IT ini malah bahas aplikasi Jaki gak bagus dari sisi Firewall dan Keamanannya dr serangan hacker  Yaa gak nyambung blast
84,Masya Allah  Indonesia emng butuh pemimpin tegas tapi gak garang.. Punya integritas tpi gak emosian Pintar dan gak suka marah2 Apalagi gebrak2 podium 😬 Insya Allah kita bersama ulama mendukung pak Anies dan cak Imin ☺️❤️ https://t.co/IC6Ysp2Iic
85,Anies: apa perasaan anda soal pelanggaran etik?  Prabowo: ndasmu etik!  Gus Miftah: https://t.co/iO5ykcbmMu
86,Kesaksian Asisten Anies  Gian Sitorus Menceritakan Ketika JIS Akan Dibangun Selalu Tidak Berhasil Saat Akan Menertibkan Warga  Namun Dia Ingat Arahan Pak Anies Adalah Mendekati Masyarakat Gunakana Telinga Terlebih Dahulu  Dengarkan Mereka Apa Yang Ingin Disampaikan https://t.co/MhvtgmRc6b
87,Cara pemberantasan korupsi ala Anies:  1. Koruptor dimiskinkan. 2. Revisi UU KPK supaya KPK kuat. 3. Reward buat masyarakat pelapor yang terlihat dalam pelaporan dan penyelidikan. 4. Standard etika pimpinan KPK harus tinggi  #StopAksiCulasKPU  #StopAksiCulasKPU https://t.co/s2LprPHJ3N
88,Momen Lucu saat Acara Desak Anies di Banyuwangi Jawa timur ada Emak -Emak serobot ambil Mix  setelah Emak -Emak Sudah Mengeluarkan Isi Hatinya ke Pak Anies Tak Lupa Emak -Emak ini Foto Selfie bareng Pak Anies...  Kamis 28 Desember 2023 https://t.co/BP1M9yA68d
89,ini warga jakarta sendiri loh yg ngomong langsung kalau selama menjabat jadi gubernur jakarta anies itu sama sekali tidak ada prestasinya  jadi gimana nih masih mau percaya sama #MulutManisAnies ? kalo gue sih ogahhh 🤪 https://t.co/jzfV9qb2hB
90,"@panca66 @BangEdiii Biasa aja Desak Anies"" itu tdk sepenuhnya pendukung Anies  tp mengajak dari semua kalangan...ada dari pdukung 1  2 &amp; 3 bahkan ada yg blm mendukung siapapun  Anies hanya mdengarkan &amp; tanya jawab dari berbagai aspirasi masy  intinya berani berdebat bertukar pikiran dg rakyat 👍 https://t.co/PwsdZLwBy8"""
91,Meriah acara Desak Anies Sepesial Edisi - NELAYAN    SATU-SATUNYA kandidat Capres yg Berani menggelar diskusi Bersama Rakyat dan membuka ruang untuk mendengarkan Curhat dan Kritikan dari Para Nelayan Cuma Pak Anies...pak Anies selalu ada Gagasan untuk Indonesia https://t.co/0RoMHjzHWr
92,Di sambut Jidor ... kunjungan pak Anies ke ponpes Al- Islah Paciran Lamongan Jawa timur   Jumat 29 Desember 2023 https://t.co/8eiRVplmC8
