all_slang,tokens
menenangkan,['menenangkan']
kulit,['kulit']
lagi,['lagi']
rasanya,['rasanya']
kalau,['kalau']
belum,['belum']
punya,['punya']
ini,['ini']
di,['di']
rangkaian,['rangkaian']
rutin,['rutin']
kalian,['kalian']
kesel,['kesel']
kalo,['kalo']
lagi,['lagi']
kulit,['kulit']
jadi,['jadi']
sensitif,['sensitif']
iritasi,['iritasi']
atau,['atau']
berjerawat,['berjerawat']
kalo,['kalo']
kulit,['kulit']
lagi,['lagi']
biasanya,['biasanya']
aku,['aku']
mau,['mau']
banyak,['banyak']
layer,['layer']
dan,['dan']
buat,['buat']
eksfoliasi,['eksfoliasi']
biasanya,['biasanya']
aku,['aku']
lebih,['lebih']
pilih,['pilih']
aku,['aku']
mau,['mau']
nih,['nih']
yang,['yang']
bikin,['bikin']
kulit,['kulit']
makin,['makin']
sensitif,['sensitif']
beberapa,['beberapa']
bulan,['bulan']
ini,['ini']
aku,['aku']
penggunaan,['penggunaan']
aku,['aku']
ternyata,['ternyata']
bagus,['bagus']
di,['di']
kulit,['kulit']
aku,['aku']
,[]
ke,['ke']
ki,['ki']
ka,['ka']
hi,['hi']
nahi,['nahi']
lagi,['lagi']
menuju,['menuju']
resolusi,['resolusi']
untuk,['untuk']
kulit,['kulit']
cerah,['cerah']
sehat,['sehat']
dan,['dan']
aku,['aku']
sama,['sama']
dari,['dari']
yuk,['yuk']
aku,['aku']
nak,['nak']
ni,['ni']
sebab,['sebab']
dah,['dah']
banyak,['banyak']
rak,['rak']
dah,['dah']
penuh,['penuh']
gila,['gila']
boleh,['boleh']
yang,['yang']
sangat,['sangat']
ni,['ni']
ke,['ke']
je,['je']
dalam,['dalam']
mini,['mini']
dalam,['dalam']
satu,['satu']
tak,['tak']
caya,['caya']
tengok,['tengok']
musim,['musim']
liburan,['liburan']
pasti,['pasti']
kan,['kan']
mau,['mau']
bawa,['bawa']
mana,['mana']
nah,['nah']
aku,['aku']
suka,['suka']
nih,['nih']
produk,['produk']
mereka,['mereka']
definisi,['definisi']
kulit,['kulit']
jadi,['jadi']
tetap,['tetap']
terawat,['terawat']
walaupun,['walaupun']
lagi,['lagi']
liburan,['liburan']
kamu,['kamu']
penasaran,['penasaran']
mana,['mana']
nih,['nih']
ini,['ini']
menurut,['menurut']
aku,['aku']
deh,['deh']
bisa,['bisa']
jadi,['jadi']
sekaligus,['sekaligus']
kulit,['kulit']
karena,['karena']
ada,['ada']
kandungan,['kandungan']
pas,['pas']
juga,['juga']
langsung,['langsung']
kayak,['kayak']
dan,['dan']
adalah,['adalah']
ketika,['ketika']
cowok,['cowok']
masuk,['masuk']
ke,['ke']
mereka,['mereka']
bawa,['bawa']
pas,['pas']
lagi,['lagi']
main,['main']
atau,['atau']
apa,['apa']
lah,['lah']
mana,['mana']
kehadiran,['kehadiran']
si,['si']
cewek,['cewek']
cuma,['cuma']
penonton,['penonton']
doang,['doang']
do,['do']
to,['to']
stroke,['stroke']
ego,['ego']
bad,['bad']
banget,['banget']
bisa,['bisa']
produk,['produk']
ini,['ini']
tepat,['tepat']
itu,['itu']
bisa,['bisa']
juga,['juga']
jadi,['jadi']
penyelamat,['penyelamat']
kulit,['kulit']
saat,['saat']
kayak,['kayak']
apa,['apa']
apa,['apa']
harus,['harus']
sat,['sat']
set,['set']
bikin,['bikin']
step,['step']
juga,['juga']
jadi,['jadi']
lebih,['lebih']
ringkas,['ringkas']
buat,['buat']
kulit,['kulit']
,[]
dia,['dia']
kena,['kena']
rajin,['rajin']
lah,['lah']
buat,['buat']
tiap,['tiap']
hari,['hari']
rasa,['rasa']
macam,['macam']
susah,['susah']
tapi,['tapi']
bila,['bila']
dah,['dah']
biasa,['biasa']
senang,['senang']
je,['je']
je,['je']
benda,['benda']
yang,['yang']
hari,['hari']
kita,['kita']
guna,['guna']
yang,['yang']
kita,['kita']
beli,['beli']
dari,['dari']
makanan,['makanan']
baju,['baju']
semua,['semua']
mana,['mana']
tukang,['tukang']
lagi,['lagi']
tau,['tau']
rumah,['rumah']
anak,['anak']
punya,['punya']
ya,['ya']
balik,['balik']
ke,['ke']
duit,['duit']
cukup,['cukup']
buat,['buat']
kebutuhan,['kebutuhan']
rumah,['rumah']
lo,['lo']
dia,['dia']
menurun,['menurun']
rasa,['rasa']
ingin,['ingin']
kena,['kena']
letak,['letak']
filter,['filter']
situ,['situ']
supaya,['supaya']
tak,['tak']
ada,['ada']
jerawat,['jerawat']
badan,['badan']
kepala,['kepala']
atau,['atau']
muka,['muka']
dah,['dah']
guna,['guna']
air,['air']
untuk,['untuk']
mandi,['mandi']
badan,['badan']
pun,['pun']
bebas,['bebas']
daripada,['daripada']
jerawat,['jerawat']
aku,['aku']
ni,['ni']
tengah,['tengah']
mahal,['mahal']
duit,['duit']
tak,['tak']
muka,['muka']
dia,['dia']
